Module;Name;
k_ary_n_mesh.host[19];Latengy:mean;0.000165769
k_ary_n_mesh.host[19];Latengy:stddev;0.000181485
k_ary_n_mesh.host[19];Latengy:sum;0.15748
k_ary_n_mesh.host[19];Latengy:sqrsum;5.74E-05
k_ary_n_mesh.host[19];Latengy:min;1.22E-07
k_ary_n_mesh.host[19];Latengy:max;0.000962776
k_ary_n_mesh.host[19];Throughput:count;1
k_ary_n_mesh.host[19];Throughput:mean;6.58E+06
k_ary_n_mesh.host[19];Throughput:stddev;NaN
k_ary_n_mesh.host[19];Throughput:sum;6.58E+06
k_ary_n_mesh.host[19];Throughput:sqrsum;4.33E+13
k_ary_n_mesh.host[19];Throughput:min;6.58E+06
k_ary_n_mesh.host[19];Throughput:max;6.58E+06
k_ary_n_mesh.host[20];Latengy:count;994
k_ary_n_mesh.host[20];Latengy:mean;0.000161806
k_ary_n_mesh.host[20];Latengy:stddev;0.000171809
k_ary_n_mesh.host[20];Latengy:sum;0.160835
k_ary_n_mesh.host[20];Latengy:sqrsum;5.53E-05
k_ary_n_mesh.host[20];Latengy:min;1.33E-07
k_ary_n_mesh.host[20];Latengy:max;0.000965074
k_ary_n_mesh.host[20];Throughput:count;1
k_ary_n_mesh.host[20];Throughput:mean;6.89E+06
k_ary_n_mesh.host[20];Throughput:stddev;NaN
k_ary_n_mesh.host[20];Throughput:sum;6.89E+06
k_ary_n_mesh.host[20];Throughput:sqrsum;4.74E+13
k_ary_n_mesh.host[20];Throughput:min;6.89E+06
k_ary_n_mesh.host[20];Throughput:max;6.89E+06
k_ary_n_mesh.host[21];Latengy:count;1026
k_ary_n_mesh.host[21];Latengy:mean;0.000144972
k_ary_n_mesh.host[21];Latengy:stddev;0.000167872
k_ary_n_mesh.host[21];Latengy:sum;0.148742
k_ary_n_mesh.host[21];Latengy:sqrsum;5.04E-05
k_ary_n_mesh.host[21];Latengy:min;1.48E-07
k_ary_n_mesh.host[21];Latengy:max;0.000902263
k_ary_n_mesh.host[21];Throughput:count;1
k_ary_n_mesh.host[21];Throughput:mean;7.11E+06
k_ary_n_mesh.host[21];Throughput:stddev;NaN
k_ary_n_mesh.host[21];Throughput:sum;7.11E+06
k_ary_n_mesh.host[21];Throughput:sqrsum;5.05E+13
k_ary_n_mesh.host[21];Throughput:min;7.11E+06
k_ary_n_mesh.host[21];Throughput:max;7.11E+06
k_ary_n_mesh.host[22];Latengy:count;985
k_ary_n_mesh.host[22];Latengy:mean;0.000146105
k_ary_n_mesh.host[22];Latengy:stddev;0.000185571
k_ary_n_mesh.host[22];Latengy:sum;0.143913
k_ary_n_mesh.host[22];Latengy:sqrsum;5.49E-05
k_ary_n_mesh.host[22];Latengy:min;1.48E-07
k_ary_n_mesh.host[22];Latengy:max;0.00119929
k_ary_n_mesh.host[22];Throughput:count;1
k_ary_n_mesh.host[22];Throughput:mean;6.82E+06
k_ary_n_mesh.host[22];Throughput:stddev;NaN
k_ary_n_mesh.host[22];Throughput:sum;6.82E+06
k_ary_n_mesh.host[22];Throughput:sqrsum;4.66E+13
k_ary_n_mesh.host[22];Throughput:min;6.82E+06
k_ary_n_mesh.host[22];Throughput:max;6.82E+06
k_ary_n_mesh.host[23];Latengy:count;1004
k_ary_n_mesh.host[23];Latengy:mean;0.000127099
k_ary_n_mesh.host[23];Latengy:stddev;0.000171089
k_ary_n_mesh.host[23];Latengy:sum;0.127608
k_ary_n_mesh.host[23];Latengy:sqrsum;4.56E-05
k_ary_n_mesh.host[23];Latengy:min;1.33E-07
k_ary_n_mesh.host[23];Latengy:max;0.001177
k_ary_n_mesh.host[23];Throughput:count;1
k_ary_n_mesh.host[23];Throughput:mean;6.95E+06
k_ary_n_mesh.host[23];Throughput:stddev;NaN
k_ary_n_mesh.host[23];Throughput:sum;6.95E+06
k_ary_n_mesh.host[23];Throughput:sqrsum;4.84E+13
k_ary_n_mesh.host[23];Throughput:min;6.95E+06
k_ary_n_mesh.host[23];Throughput:max;6.95E+06
k_ary_n_mesh.host[24];Latengy:count;1032
k_ary_n_mesh.host[24];Latengy:mean;0.000133415
k_ary_n_mesh.host[24];Latengy:stddev;0.0001545
k_ary_n_mesh.host[24];Latengy:sum;0.137684
k_ary_n_mesh.host[24];Latengy:sqrsum;4.30E-05
k_ary_n_mesh.host[24];Latengy:min;1.05E-07
k_ary_n_mesh.host[24];Latengy:max;0.000923581
k_ary_n_mesh.host[24];Throughput:count;1
k_ary_n_mesh.host[24];Throughput:mean;7.15E+06
k_ary_n_mesh.host[24];Throughput:stddev;NaN
k_ary_n_mesh.host[24];Throughput:sum;7.15E+06
k_ary_n_mesh.host[24];Throughput:sqrsum;5.11E+13
k_ary_n_mesh.host[24];Throughput:min;7.15E+06
k_ary_n_mesh.host[24];Throughput:max;7.15E+06
k_ary_n_mesh.host[25];Latengy:count;1009
k_ary_n_mesh.host[25];Latengy:mean;0.000137871
k_ary_n_mesh.host[25];Latengy:stddev;0.000162935
k_ary_n_mesh.host[25];Latengy:sum;0.139112
k_ary_n_mesh.host[25];Latengy:sqrsum;4.59E-05
k_ary_n_mesh.host[25];Latengy:min;1.13E-07
k_ary_n_mesh.host[25];Latengy:max;0.0010394
k_ary_n_mesh.host[25];Throughput:count;1
k_ary_n_mesh.host[25];Throughput:mean;6.99E+06
k_ary_n_mesh.host[25];Throughput:stddev;NaN
k_ary_n_mesh.host[25];Throughput:sum;6.99E+06
k_ary_n_mesh.host[25];Throughput:sqrsum;4.89E+13
k_ary_n_mesh.host[25];Throughput:min;6.99E+06
k_ary_n_mesh.host[25];Throughput:max;6.99E+06
k_ary_n_mesh.host[26];Latengy:count;982
k_ary_n_mesh.host[26];Latengy:mean;0.000158182
k_ary_n_mesh.host[26];Latengy:stddev;0.000162197
k_ary_n_mesh.host[26];Latengy:sum;0.155334
k_ary_n_mesh.host[26];Latengy:sqrsum;5.04E-05
k_ary_n_mesh.host[26];Latengy:min;1.22E-07
